               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 115,            0.028896,            0.035191,           0.0080283,             0.59705,             0.51037,             0.52142,             0.35283,            0.038016,            0.056466,             0.02501,           0.0077428,           0.0077428,           0.0077428
                 116,             0.02866,            0.034085,           0.0077784,             0.74881,             0.45116,             0.50869,             0.34544,             0.03804,            0.055465,            0.024021,            0.007723,            0.007723,            0.007723
                 117,            0.029217,            0.035338,           0.0079726,             0.72868,             0.40757,             0.49087,             0.33113,            0.038242,            0.056311,            0.024997,           0.0077032,           0.0077032,           0.0077032
                 118,            0.028767,            0.034327,           0.0078011,             0.56606,             0.48209,             0.49453,             0.33915,              0.0384,            0.056966,            0.025529,           0.0076834,           0.0076834,           0.0076834
                 119,            0.028447,            0.034484,           0.0075718,              0.5845,             0.48067,              0.4889,              0.3249,            0.038246,            0.057548,            0.025167,           0.0076636,           0.0076636,           0.0076636
                 120,            0.028683,            0.034166,           0.0075234,             0.78265,             0.42906,             0.49661,             0.33467,            0.038101,            0.056755,             0.02468,           0.0076438,           0.0076438,           0.0076438
                 121,            0.028435,            0.034298,           0.0076863,             0.72506,             0.46671,              0.5224,             0.35051,            0.038066,             0.05617,            0.023377,            0.007624,            0.007624,            0.007624
                 122,            0.028409,            0.035944,           0.0078317,             0.76499,             0.43891,             0.49365,              0.3327,            0.038436,            0.057963,            0.023852,           0.0076042,           0.0076042,           0.0076042
                 123,            0.028421,            0.034185,           0.0076609,             0.70882,             0.45027,             0.51434,             0.34236,            0.038168,            0.057438,            0.024576,           0.0075844,           0.0075844,           0.0075844
                 124,            0.028371,              0.0342,           0.0075735,             0.67379,             0.45871,             0.51761,             0.34946,            0.038108,            0.057394,            0.024343,           0.0075646,           0.0075646,           0.0075646
                 125,            0.028652,             0.03485,           0.0076378,             0.69146,             0.45784,             0.51129,             0.34681,            0.037975,             0.05591,            0.024811,           0.0075448,           0.0075448,           0.0075448
                 126,            0.028391,            0.035618,           0.0075732,             0.65847,             0.46781,             0.50479,             0.34284,            0.038349,            0.057894,            0.025188,            0.007525,            0.007525,            0.007525
                 127,            0.028404,            0.035098,           0.0075531,             0.61362,             0.48191,             0.50035,             0.33752,            0.038162,            0.058373,            0.024449,           0.0075052,           0.0075052,           0.0075052
                 128,            0.028245,            0.034157,           0.0075087,             0.76496,               0.412,             0.49732,             0.33672,            0.038212,            0.056306,             0.02395,           0.0074854,           0.0074854,           0.0074854
                 129,            0.028294,            0.034601,           0.0074135,             0.74784,             0.43271,             0.50194,             0.33867,             0.03804,            0.058094,             0.02422,           0.0074656,           0.0074656,           0.0074656
                 130,            0.027903,            0.034492,           0.0071202,              0.7141,             0.45296,             0.50757,             0.34586,            0.038396,            0.057747,             0.02467,           0.0074458,           0.0074458,           0.0074458
                 131,             0.02853,            0.034738,           0.0074699,             0.63156,             0.49627,              0.5194,             0.35401,            0.037909,            0.056595,            0.023532,            0.007426,            0.007426,            0.007426
                 132,            0.027503,            0.033933,           0.0071113,             0.78703,              0.4218,             0.50419,             0.34303,            0.038121,               0.059,            0.023819,           0.0074062,           0.0074062,           0.0074062
                 133,            0.027549,            0.034154,           0.0070706,             0.82323,             0.40795,             0.51457,             0.34828,            0.038078,            0.057038,            0.023847,           0.0073864,           0.0073864,           0.0073864
                 134,            0.028116,            0.034493,           0.0071593,             0.78894,             0.40875,             0.50608,             0.34155,            0.038048,            0.056946,            0.024507,           0.0073666,           0.0073666,           0.0073666
                 135,              0.0275,            0.033673,           0.0069024,             0.72645,             0.45442,             0.51072,             0.33772,            0.037885,            0.056999,            0.024891,           0.0073468,           0.0073468,           0.0073468
                 136,            0.027693,            0.034486,           0.0073262,             0.75535,             0.44497,             0.50905,             0.34458,            0.037722,            0.056863,            0.023239,            0.007327,            0.007327,            0.007327
                 137,            0.027311,            0.033473,            0.006971,             0.73929,             0.44546,             0.50764,             0.35191,            0.037936,            0.057208,            0.023942,           0.0073072,           0.0073072,           0.0073072
                 138,            0.027918,            0.034524,            0.007179,             0.69064,              0.4573,             0.51526,             0.35356,            0.037902,            0.058841,               0.025,           0.0072874,           0.0072874,           0.0072874
                 139,            0.027952,            0.034089,           0.0071917,             0.79316,             0.43773,             0.52567,             0.35613,            0.038368,            0.058707,            0.023675,           0.0072676,           0.0072676,           0.0072676
                 140,            0.027395,            0.033422,            0.006899,             0.79791,             0.41451,             0.51715,             0.34906,            0.037984,            0.058747,            0.024437,           0.0072478,           0.0072478,           0.0072478
                 141,            0.027593,            0.033972,           0.0068936,             0.79999,             0.42157,             0.49561,             0.33739,            0.038302,            0.059508,            0.024852,            0.007228,            0.007228,            0.007228
                 142,             0.02768,            0.034339,           0.0069622,              0.6449,             0.50159,             0.50641,             0.34753,            0.038181,            0.059903,            0.023625,           0.0072082,           0.0072082,           0.0072082
                 143,             0.02748,            0.033671,           0.0067978,             0.76586,             0.45202,             0.53006,             0.36334,            0.038047,            0.059859,            0.024152,           0.0071884,           0.0071884,           0.0071884
                 144,            0.027322,            0.033812,           0.0066759,             0.62969,             0.49241,             0.53274,             0.36459,            0.037766,            0.058761,            0.022997,           0.0071686,           0.0071686,           0.0071686
                 145,            0.027388,            0.033668,           0.0067588,             0.67066,             0.47833,             0.52351,             0.35668,            0.037794,            0.057294,             0.02411,           0.0071488,           0.0071488,           0.0071488
                 146,            0.027428,            0.033319,           0.0067718,             0.64796,             0.48596,              0.5247,             0.36561,            0.037835,            0.058057,            0.024058,            0.007129,            0.007129,            0.007129
                 147,            0.027102,            0.032232,           0.0067171,             0.81543,             0.41847,             0.53145,             0.36463,            0.037898,             0.05804,             0.02394,           0.0071092,           0.0071092,           0.0071092
                 148,            0.027128,            0.034237,           0.0066946,             0.69925,             0.46135,             0.52195,             0.36113,            0.037847,            0.060041,             0.02392,           0.0070894,           0.0070894,           0.0070894
                 149,            0.027216,            0.033231,           0.0067732,             0.59213,             0.51106,             0.51107,             0.35246,             0.03788,            0.058297,            0.023431,           0.0070696,           0.0070696,           0.0070696
                 150,            0.026932,            0.032765,           0.0065806,             0.70535,             0.47974,             0.52126,             0.35472,            0.037875,             0.05885,            0.023683,           0.0070498,           0.0070498,           0.0070498
